submit,prop,cond,bet,guess,pbet,pguess,key1,key2,ckey1,ckey2,cguess,locked,endTR,subnum,subject
4,146,2,10,0,3,0,0,4,-999999,-999999,-999999,0,1436,2,'591-AB-1'
1,147,3,2,0,20,1,0,1,-999999,-999999,-999999,0,714,2,'591-AB-1'
50,148,1,40,1,60,1,5,0,-999999,-999999,-999999,0,1256,2,'591-AB-1'
10,149,3,20,0,40,1,1,0,-999999,-999999,-999999,0,1401,2,'591-AB-1'
4,150,5,4,0,-999999,-999999,0,4,-999999,-999999,-999999,0,1376,2,'591-AB-1'
10,151,3,7,0,25,1,1,0,-999999,-999999,-999999,0,603,2,'591-AB-1'
60,152,1,50,1,55,1,6,0,-999999,-999999,-999999,0,611,2,'591-AB-1'
30,153,2,30,1,17,1,3,0,-999999,-999999,1,0,1087,2,'591-AB-1'
50,154,2,40,0,22,0,5,0,-999999,-999999,-999999,0,835,2,'591-AB-1'
60,155,1,60,1,54,1,6,0,5,4,-999999,0,464,2,'591-AB-1'
-999999,156,3,20,0,33,1,-999999,-999999,-999999,-999999,-999999,1,1096,2,'591-AB-1'
10,157,2,20,0,5,0,1,0,-999999,-999999,-999999,0,1484,2,'591-AB-1'
20,158,2,20,0,6,0,2,0,-999999,-999999,-999999,0,1054,2,'591-AB-1'
20,159,3,30,1,42,0,2,0,-999999,-999999,-999999,0,537,2,'591-AB-1'
60,160,2,60,1,43,1,6,0,-999999,-999999,-999999,0,562,2,'591-AB-1'
5,161,4,30,1,20,0,0,5,-999999,-999999,-999999,0,193,2,'591-AB-1'
20,162,3,20,0,32,1,2,0,-999999,-999999,-999999,0,1264,2,'591-AB-1'
-999999,163,4,10,0,6,1,-999999,-999999,-999999,-999999,-999999,1,1394,2,'591-AB-1'
1,164,3,2,0,25,1,0,1,-999999,-999999,-999999,0,1191,2,'591-AB-1'
10,165,3,20,1,33,0,1,0,-999999,-999999,-999999,0,569,2,'591-AB-1'
20,166,1,1,0,17,0,2,0,-999999,-999999,-999999,0,237,2,'591-AB-1'
30,167,1,20,1,37,1,3,0,-999999,-999999,-999999,0,1460,2,'591-AB-1'
-999999,168,3,10,0,22,1,-999999,-999999,-999999,-999999,-999999,1,673,2,'591-AB-1'
10,169,2,7,0,4,0,1,0,-999999,-999999,-999999,0,1007,2,'591-AB-1'
20,170,4,20,1,3,0,2,0,-999999,-999999,-999999,0,1077,2,'591-AB-1'
2,171,3,10,0,23,1,0,2,-999999,-999999,-999999,0,949,2,'591-AB-1'
20,172,4,20,1,6,0,2,0,-999999,-999999,-999999,0,801,2,'591-AB-1'
50,173,2,50,1,31,1,5,0,-999999,-999999,-999999,0,122,2,'591-AB-1'
-999999,174,4,20,1,1,0,-999999,-999999,-999999,-999999,-999999,1,499,2,'591-AB-1'
4,175,3,4,0,24,1,0,4,-999999,-999999,-999999,0,756,2,'591-AB-1'
60,1,2,60,0,46,0,6,0,-999999,-999999,-999999,0,182,3,'591-AC-1'
60,2,4,50,1,34,0,6,0,-999999,-999999,-999999,0,393,3,'591-AC-1'
60,3,4,40,0,23,1,6,0,-999999,-999999,-999999,0,949,3,'591-AC-1'
60,4,3,60,1,11,0,6,0,-999999,-999999,-999999,0,468,3,'591-AC-1'
60,5,2,60,0,43,0,6,0,-999999,-999999,-999999,0,617,3,'591-AC-1'
60,6,2,60,0,55,0,6,0,-999999,-999999,-999999,0,1405,3,'591-AC-1'
60,7,4,50,0,33,1,6,0,-999999,-999999,-999999,0,793,3,'591-AC-1'
60,8,1,50,1,53,1,6,0,-999999,-999999,-999999,0,1444,3,'591-AC-1'
60,9,1,60,1,20,1,6,0,-999999,-999999,-999999,0,460,3,'591-AC-1'
60,10,1,50,0,50,0,6,0,-999999,-999999,-999999,0,189,3,'591-AC-1'
60,11,2,60,0,45,0,6,0,-999999,-999999,-999999,0,516,3,'591-AC-1'
-999999,12,4,60,1,40,0,-999999,-999999,-999999,-999999,-999999,1,105,3,'591-AC-1'
60,13,5,50,0,-999999,-999999,6,0,-999999,-999999,-999999,0,1324,3,'591-AC-1'
60,14,1,60,0,10,0,6,0,-999999,-999999,-999999,0,1488,3,'591-AC-1'
60,15,2,60,1,52,1,6,0,-999999,-999999,1,0,848,3,'591-AC-1'
60,16,2,60,1,43,1,6,0,-999999,-999999,-999999,0,1388,3,'591-AC-1'
60,17,3,50,1,53,0,6,0,-999999,-999999,-999999,0,1035,3,'591-AC-1'
60,18,2,50,0,35,0,6,0,-999999,-999999,-999999,0,427,3,'591-AC-1'
-999999,19,1,60,1,27,1,-999999,-999999,-999999,-999999,-999999,1,1114,3,'591-AC-1'
-999999,20,2,60,1,42,1,-999999,-999999,-999999,-999999,-999999,1,317,3,'591-AC-1'
60,21,4,60,0,47,1,6,0,-999999,-999999,-999999,0,419,3,'591-AC-1'
60,22,3,60,1,33,0,6,0,-999999,-999999,-999999,0,275,3,'591-AC-1'
60,23,4,60,1,45,0,6,0,-999999,-999999,-999999,0,670,3,'591-AC-1'
60,24,5,50,0,-999999,-999999,6,0,-999999,-999999,-999999,0,864,3,'591-AC-1'
60,25,4,60,1,47,0,6,0,-999999,-999999,0,0,385,3,'591-AC-1'
60,26,2,50,0,36,0,6,0,-999999,-999999,-999999,0,1421,3,'591-AC-1'
60,27,4,50,0,31,1,6,0,-999999,-999999,-999999,0,634,3,'591-AC-1'
60,28,4,50,0,31,1,6,0,-999999,-999999,-999999,0,1106,3,'591-AC-1'
60,29,2,60,1,44,1,6,0,5,5,-999999,0,1334,3,'591-AC-1'
60,30,1,50,0,52,0,6,0,-999999,-999999,-999999,0,1414,3,'591-AC-1'
-999999,31,4,50,1,37,0,-999999,-999999,-999999,-999999,-999999,1,499,3,'591-AC-1'
60,32,1,60,0,43,0,6,0,-999999,-999999,-999999,0,1202,3,'591-AC-1'
-999999,33,3,50,0,54,1,-999999,-999999,5,4,-999999,1,411,3,'591-AC-1'
60,34,5,60,0,-999999,-999999,6,0,-999999,-999999,-999999,0,1307,3,'591-AC-1'
60,35,2,60,0,46,0,6,0,-999999,-999999,-999999,0,974,3,'591-AC-1'
60,36,2,50,0,30,0,6,0,-999999,-999999,-999999,0,1000,3,'591-AC-1'
60,37,2,60,0,45,0,6,0,-999999,-999999,-999999,0,881,3,'591-AC-1'
60,38,3,60,1,1,0,6,0,-999999,-999999,-999999,0,524,3,'591-AC-1'
60,39,2,60,0,46,0,6,0,-999999,-999999,-999999,0,712,3,'591-AC-1'
60,40,1,60,0,26,0,6,0,-999999,-999999,-999999,0,299,3,'591-AC-1'
60,41,4,60,0,47,1,6,0,-999999,-999999,-999999,0,532,3,'591-AC-1'
60,42,2,60,0,50,0,6,0,-999999,-999999,-999999,0,571,3,'591-AC-1'
60,43,1,60,0,6,0,6,0,-999999,-999999,-999999,0,839,3,'591-AC-1'
60,44,2,60,1,45,1,6,0,-999999,-999999,-999999,0,156,3,'591-AC-1'
60,45,1,60,1,1,1,6,0,-999999,-999999,-999999,0,982,3,'591-AC-1'
60,46,1,60,0,37,0,6,0,-999999,-999999,-999999,0,1429,3,'591-AC-1'
60,47,1,60,1,52,1,6,0,-999999,-999999,-999999,0,1080,3,'591-AC-1'
60,48,1,60,0,52,0,6,0,-999999,-999999,-999999,0,1187,3,'591-AC-1'
60,49,4,60,0,45,1,6,0,-999999,-999999,-999999,0,1252,3,'591-AC-1'
-999999,50,2,50,1,35,1,-999999,-999999,-999999,-999999,-999999,1,784,3,'591-AC-1'
50,51,2,50,0,33,0,5,0,-999999,-999999,-999999,0,283,3,'591-AC-1'
60,52,4,50,0,33,1,6,0,-999999,-999999,-999999,0,43,3,'591-AC-1'
-999999,53,5,50,1,-999999,-999999,-999999,-999999,-999999,-999999,-999999,1,696,3,'591-AC-1'
60,54,4,60,0,40,1,6,0,-999999,-999999,-999999,0,492,3,'591-AC-1'
60,55,4,60,0,50,1,6,0,-999999,-999999,-999999,0,775,3,'591-AC-1'
60,56,3,60,1,23,0,6,0,-999999,-999999,-999999,0,554,3,'591-AC-1'
60,57,5,60,0,-999999,-999999,6,0,-999999,-999999,-999999,0,443,3,'591-AC-1'
50,58,3,4,0,14,1,5,0,-999999,-999999,-999999,0,811,3,'591-AC-1'
60,59,3,60,0,34,1,6,0,-999999,-999999,-999999,0,257,3,'591-AC-1'
-999999,60,2,50,0,33,0,-999999,-999999,-999999,-999999,-999999,1,452,3,'591-AC-1'
60,61,4,60,1,45,0,6,0,-999999,-999999,-999999,0,223,3,'591-AC-1'
60,62,2,60,0,47,0,6,0,-999999,-999999,-999999,0,1157,3,'591-AC-1'
60,63,3,60,1,3,0,6,0,-999999,-999999,-999999,0,1315,3,'591-AC-1'
60,64,1,50,1,52,1,6,0,-999999,-999999,-999999,0,1219,3,'591-AC-1'
60,65,3,60,1,7,0,6,0,-999999,-999999,-999999,0,1499,3,'591-AC-1'
60,66,2,60,0,43,0,6,0,-999999,-999999,-999999,0,940,3,'591-AC-1'
60,67,1,60,1,53,1,6,0,-999999,-999999,-999999,0,720,3,'591-AC-1'
60,68,3,60,0,40,1,6,0,-999999,-999999,-999999,0,578,3,'591-AC-1'
1,69,2,50,0,33,0,0,1,-999999,-999999,1,0,1379,3,'591-AC-1'
60,70,2,50,0,36,0,6,0,-999999,-999999,-999999,0,899,3,'591-AC-1'
60,71,3,60,0,1,1,6,0,-999999,-999999,-999999,0,1460,3,'591-AC-1'
60,72,1,60,0,50,0,6,0,-999999,-999999,-999999,0,1236,3,'591-AC-1'
60,73,5,60,0,-999999,-999999,6,0,-999999,-999999,-999999,0,129,3,'591-AC-1'
60,74,4,50,0,33,1,6,0,-999999,-999999,-999999,0,931,3,'591-AC-1'
60,75,3,60,1,11,0,6,0,-999999,-999999,-999999,0,174,3,'591-AC-1'
60,76,5,60,0,-999999,-999999,6,0,-999999,-999999,-999999,0,1243,3,'591-AC-1'
60,77,2,50,0,34,0,6,0,-999999,-999999,-999999,0,1268,3,'591-AC-1'
